"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1417181","occ","","","196088","Phaanthosaurus sp.","genus","139875","","Phaanthosaurus","genus","139875","Induan","","251.902","251.2","28844"
"1418153","occ","","","171384","Owenetta rubidgei","species","136937","","Owenetta rubidgei","species","136937","Wuchiapingian","","259.51","254.14","66794"
"1419522","occ","","IF","196816","Procolophonichnium sp.","genus","156486","","Procolophonichnium","genus","156486","Illyrian","","243.8","242","67034"
"1421402","occ","","IF","188750","Hyloidichnus tirolensis","species","378517","recombined as","Procolophonichnium tirolensis","species","378517","Lopingian","","259.51","251.902","67271"
"1421403","occ","","IF","188750","Paradoxichnium ? radeinensis","species","378518","subjective synonym of","Procolophonichnium tirolensis","species","378517","Lopingian","","259.51","251.902","67271"
"1421405","occ","","IF","188750","Chelichnus ? tazelwurmi","species","378519","subjective synonym of","Procolophonichnium tirolensis","species","378517","Lopingian","","259.51","251.902","67271"
"1421422","occ","","IF","197299","Procolophonichnium sp.","genus","156486","","Procolophonichnium","genus","156486","Lopingian","","259.51","251.902","67273"
"1432046","occ","","IF","96875","Procolophonichnium n. sp. winterswijkense","species","378527","","Procolophonichnium winterswijkense","species","378527","Anisian","","247.2","242","67942"
"1432609","occ","","IF","199858","Procolophonichnium sp.","genus","156486","","Procolophonichnium","genus","156486","Anisian","","247.2","242","67964"
"1433057","occ","","IF","199904","Procolophonichnium sp.","genus","156486","","Procolophonichnium","genus","156486","Anisian","","247.2","242","67964"
"1534868","occ","","","46077","Haligonia cf. bolodon","species","120882","","Haligonia bolodon","species","120882","Rhaetian","","208.5","201.4","74323"
"1534869","occ","","","46077","cf. Scoloparia sp.","genus","120892","","Scoloparia","genus","120892","Rhaetian","","208.5","201.4","74323"
"1534870","occ","","","46077","n. gen. Smilodonterpeton n. sp. ruthinensis","species","428550","","Smilodonterpeton ruthinensis","species","428550","Rhaetian","","208.5","201.4","74323"
